nct_number,study_title,recruitment_status,brief_summary,eligibility_criteria,phase,conditions,keywords,interventions,min_age,max_age,sex,study_url,disease
NCT06890676,Extending Dental Care to Nursing Home Residents to Reduce Mouth Infections and Incidence of Pneumonia and Improve Diabetic Glucose Control,RECRUITING,"The goal of this study is to learn if dental infection control treatment delivered to older adult nursing home residents at their place of residence will result in :

* improved dental health
* reduced risk of pneumonia
* better glucose control for diabetic patients compared to the pre-project dental and general health evaluations of residents and the pre-project facility incidence of pneumonia. Dental infection control treatment includes treating gum infections, stopping or slowing decay with fluoride, and assisting residents with effective tooth brushing and denture cleaning daily. Previous studies indicate dental infections can be inhaled and cause pneumonia or make diabetes worse. A shortage of dentists has limited care for nursing home residents. This project will allow dental hygienists and specially trained dental assistants to treat nursing home residents using telehealth methods (computers, cameras, internet, and telephone) to talk and work with dentists in different locations.","Inclusion Criteria:

* Adult \> 60 years of age residing in a nursing home or communal care setting;
* Review of Medical history results in an assigned American Society of Anesthesiologists Physical Status Evaluation of Class II or III;
* Frailty Assessment of Low or Moderate using the Modified FRAIL Questionnaire;
* Consent is required for study participation, disease control oral healthcare, and access to medical records.

Exclusion Criteria:

* Age \< 60;
* American Society of Anesthesiologists Physical Status Evaluation of Class IV or V;
* High frailty evaluation using the Modified FRAIL Questionnaire;
* Resident deemed behaviorally or physically difficult to treat by initial clinical assessment.",NA,"Periodontitis, Gingivitis, Periodontal Disease, Periodontal Infections, Oral Infections, Periapical Infections, Pneumonia, Diabetes","Nursing Home, Long-Term Care Facility, Dental Care, Dental Infections, Oral Infections, Periodontal Infections, Periodontal Diseases, Dental Caries, Pneumonia, Diabetes, Oral Hygiene, Caries Arrest, Frailty, Telehealth","Comprehensive Oral Evaluation, Intraoral Complete Radiographic Series, • Teledentistry-synchronous and asynchronous, Periodontal Therapy, Periodontal Maintenance Procedure, Application of Caries Arresting Medicament, Oral Hygiene Assistance, Referral for Treatment of Acute Oral Infection",60 Years,100 Years,ALL,https://clinicaltrials.gov/study/NCT06890676,diabetes
NCT02169518,Paraoxonase and HDL Qualities in Glycaemia and Inflammation,RECRUITING,"The incidence of coronary heart disease (CHD) is significant in the super-obese and diabetics.

Inflammation is believed to play an important part in the development of CHD, and the large collection of abdominal fat in the obese person is a vast source of inflammation. Diabetics have abnormal glucose and cholesterol metabolism which ultimately compromise their bodies' circulatory system and nerve function.

Cholesterol plays a vital role in CHD. Low-density lipoprotein (LDL) particles carry cholesterol and deposit it in blood vessel walls which become damaged as a result. When LDL particles undergo changes chemically (called oxidation) or as a result of high circulating blood glucose (called glycation), they become more harmful to the body. High-density lipoprotein (HDL) particles have a protective function in CHD. Not only do they transport cholesterol away from the blood vessels to the liver to be broken down, they have properties against oxidation and inflammation. These properties are related to the activity of an enzyme on HDL called paraoxonase 1(PON1).

Super-obese patients are increasingly treated by weight-reducing surgery (bariatric surgery). In this study we examine whether weight loss following bariatric surgery results in reduced inflammatory state, improved HDL function (higher PON1 activity), better control of blood glucose and less nerve damage.

We will study PON1 activity, inflammation and glucose control in patients with type 1 diabetes (with and without kidney damage) and type 2 diabetes. We will also study the effects of rapidly rising blood glucose levels on PON1 and glycated LDL in patients undergoing oral glucose tolerance test.","Inclusion Criteria:

* Patients with Type 1 diabetes who are not receiving lipid-lowering drugs, omega fatty acid supplements or thiazolidinediones and without clinical and/or ECG evidence of CHD.

Type 2 diabetic patients who are not receiving omega fatty acid supplements or thiazolidinediones and without clinical and/or ECG evidence of CHD.

Patients with impaired fasting glucose undergoing oral glucose tolerance test. Patients scheduled for bariatric surgery. Healthy controls who have no major acute or chronic illness, are not receiving regular medication and not taking omega fatty acid supplements, do not have clinically overt ischaemic heart disease.

Subjects (male and female) aged between 20 and 75. Subjects who have capacity and understanding for informed consent process.

Exclusion Criteria:

* Type 1 diabetics using lipid lowering therapy, thiazolidinediones, omega fatty acid supplements. History and/or ECG evidence of ST segment changes indicative of CHD.

Type 2 diabetics receiving thiazolidinediones, omega fatty acid supplements. History and/or ECG evidence of ST segment changes indicative of CHD.

Healthy controls who have any history of CHD, vascular insufficiency, or diabetes. Use of any lipid-lowering drug or omega fatty acid supplements.",N/A,"Diabetes Mellitus, Bariatric Surgery Candidate","PON1 activity, HDL functionality, LDL oxidation, Diabetes Mellitus Type 1, Obesity, Diabetes Mellitus Type 2, Bariatric Surgery",,20 Years,75 Years,ALL,https://clinicaltrials.gov/study/NCT02169518,diabetes
NCT05390892,PREvention of CardIovascular and DiabEtic kidNey Disease in Type 2 Diabetes,RECRUITING,"PRECIDENTD is a randomized, open label, pragmatic clinical trial designed to compare rates of the total number of cardiovascular, kidney, and death events among two alternative treatments for patients with type 2 diabetes (T2D) and either established atherosclerotic cardiovascular disease (ASCVD) or at high risk for ASCVD. To accomplish this objective, we will randomly assign 6,000 patients with established T2D and ASCVD or high-risk for ASCVD in a 1:1 allocation to sodium-glucose cotransporter-2 inhibitor (SGLT2i) or glucagon-like peptide-1 receptor agonists (GLP-1RA). Participants will be followed for the occurrence of the trial primary endpoint of the total (first and recurrent) number of episodes of myocardial infarction (MI), stroke, arterial revascularization, hospitalization for heart failure, development of end-stage kidney disease, kidney transplantation, and mortality, counting all events from randomization until end of study.","Inclusion Criteria:

* Type 2 diabetes based on clinical diagnosis
* HbA1c ≥6% measured within 12 months prior to screening
* Secondary prevention cohort (at least 70% of cohort):

  * Age 40 to 80 years
  * Evidence of established atherosclerotic cardiovascular disease (ASCVD), as defined by one or more of the following
  * Coronary heart disease defined by at least one of the following: prior myocardial infarction, prior coronary percutaneous coronary intervention, ≥50% stenosis of a coronary artery documented by invasive or non-invasive imaging (including CT coronary angiography), positive stress test, or coronary artery calcium score \>400 Agatston units;
  * Cerebrovascular disease defined by at least one of the following: prior ischemic stroke, prior carotid revascularization procedure, carotid stenosis ≥ 50% documented by X-ray angiography, MR angiography, CT angiography, or Doppler ultrasound;
  * Symptomatic peripheral artery disease defined by at least one of the following: leg symptoms with an ABI ≤ 0.9, leg symptoms with imaging evidence of a stenosis ≥50% in a peripheral artery documented by X-ray angiography, MR angiography, CT angiography, or Doppler ultrasound, or prior amputation for atherosclerotic disease.
* Primary prevention cohort (capped at 30% of cohort):

  * Age 60-80 years and at least 1 additional high-risk feature:
  * Cardiovascular risk factors/high-risk features:
  * Active smoking (combustible tobacco or marijuana)
  * HbA1c ≥ 8% measured within 12 months prior to screening. The most recent value available at the time of screening will be used for screening and to determine eligibility.
  * Stage 3a CKD, eGFR 45-59 ml/min/1.73m2 measured within 12 months prior to screening. The most recent value available at screening will be used for screening and to determine eligibility.
* Willingness to be randomly assigned to medication class (SGLT2i or GLP-1 RA or both) and fill prescription through personal pharmacy benefit while having other medications adjusted for safety
* Willingness to avoid starting a therapy in the alternative treatment group (e.g., if randomized to GLP-1 RA, avoid starting an SGLT2i) unless strongly recommended by the participant's usual care provider.
* If taking one of the study medication classes, willingness to stop SGLT2i or GLP-1 RA and be randomly assigned to one of the two medication classes
* Willingness to consent to data collection using the electronic health record and sign a medical release to obtain future medical records from other health care facilities

Exclusion Criteria:

* Known or suspected diabetes of other cause (type 1 diabetes, pancreatogenic diabetes, monogenic diabetes, etc.)
* Any background diabetes medication regimen will be allowed in this pragmatic trial with the following proviso:

  o Participants taking basal-bolus, prandial, or multiple daily injection insulin (MDI) regimens (e.g., short-acting in combination with long-acting insulin, called MDI regimens) are eligible only if the research staff attests that there has been communication with the usual diabetes care provider and that the provider has agreed to manage insulin adjustment with initiation of study medications. If such agreement has not been obtained, participants taking MDI regimens are excluded.
* History of diabetic ketoacidosis
* Active diabetic foot ulcer
* History of pancreatitis
* Heart failure as a primary reason for hospitalization within the past year
* Known left ventricular ejection fraction \<40%
* Known urinary albumin-to-creatinine ratio \>200 mg/g at screening
* Estimated glomerular filtration rate (eGFR) less than 45 ml/min/1.73m2 measured within 12 months prior to screening. The most recent value available at screening will be used for screening and to determine eligibility.
* Known inability to afford study medication through current insurance coverage.
* If a woman of child-bearing potential, the patient or partner is unwilling to use birth control
* Active treatment for cancer, planned treatment for cancer, or recent active cancer with likelihood of recurrence or progression, which, in the opinion of the site investigator, has a likelihood of recurrence that would interfere with study therapy prior to 2028

  * Treated cancer with no evidence of disease, no evidence of disease progression, and no planned change in therapy is allowed. Examples of allowable cancers include:
  * Breast cancer stable after active treatment, managed with long-term anti-estrogen therapy
  * Prostate cancer being observed
  * Stage 0 or 1 tumors status post resection or other definitive treatment
  * Other similarly stable cancer comorbidities
* History of solid organ or bone marrow transplant
* Allergy to SGLT2 inhibitor or GLP-1 receptor agonist",PHASE4,"Type2Diabetes, ASCVD",,"SGLT2 inhibitor, GLP-1 receptor agonist",40 Years,80 Years,ALL,https://clinicaltrials.gov/study/NCT05390892,diabetes
NCT07002372,Effect of Video Viewing on Intravitreal Injection Experience,RECRUITING,"Study Objective The goal of this clinical trial is to evaluate whether viewing a procedural video can improve the patient experience and reduce the incidence and severity of subconjunctival hemorrhage in individuals undergoing intravitreal anti-VEGF injections.

Key Research Questions

1. Can viewing the procedural video prior to treatment reduce the rate and/or area of subconjunctival hemorrhage?
2. Can the video improve the patient experience, specifically by reducing anxiety levels and increasing satisfaction with the treatment process?

Study Design Participants will be randomly assigned to either an intervention group, who will watch an educational video explaining the injection procedure, or a control group, who will not view the video.

All participants will complete the State-Trait Anxiety Inventory-State (STAI-S) questionnaire both before and after treatment to assess changes in anxiety levels.","Inclusion Criteria:

* Patients who are receiving their first intravitreal injection of anti-VEGF medication due to retinal diseases
* Mentally competent, and able to communicate without barriers
* Willing to voluntarily sign an informed consent form.

Exclusion Criteria:

* History of previous eye surgery
* Best-corrected visual acuity in the better eye worse than 0.3
* The target eye is complicated with neovascular glaucoma.",NA,"Age Related Macular Degeneration, Diabetic Retinopathy, Choroidal Neovascularization, Retinal Vein Occlusion, Cystoid Macular Edema",,Procedure video viewing,18 Years,,ALL,https://clinicaltrials.gov/study/NCT07002372,diabetes
NCT06060392,Effect of Oral Semaglutide on Liver Fat and Body Composition in Liver Transplant Recipients With Diabetes Mellitus,RECRUITING,"Nonalcoholic fatty liver disease (NAFLD) is a spectrum of liver conditions ranging from liver steatosis (NAFL), steatohepatitis (NASH), advanced liver fibrosis and ultimately leads to cirrhosis in a significant proportion of individuals. NAFLD is intimately associated with insulin resistance and associated disorders, such as obesity, type 2 diabetes, metabolic syndrome, and dyslipidemia.

It has been noted that several individuals with liver transplantation develop nonalcoholic fatty liver disease in the transplanted liver. This is because of the presence of various risk factors of obesity and NAFLD, such as decreased physical activity, that persist following liver transplantation. Post-liver transplant patients are particularly at risk for developing NAFLD, as these patients are on oral steroids and immunosuppressants for a significant period of time.

There is no medication approved for the prevention or treatment of NAFLD. Semaglutide is an GLP-1 receptor agonist that have been approved for the treatment of type 2 diabetes and obesity. Semaglutide has also been demonstrated to have beneficial effects on NAFLD. However, there is no data on the effect of semaglutide on liver fat accumulation or changes in body composition in patients following liver transplantation. Therefore, the current pilot study is planned to evaluate the effect of oral semaglutide on the liver fat, liver enzymes and body composition in patients undergoing liver transplantation","Inclusion Criteria:

1. A man or woman, 30 years of age or above with liver transplantation of at least 3 months duration who meets all the following two criteria:

   1. On standard anti-diabetic agents (metformin and/or insulin) with an HbA1c of \<=9% at screening
   2. Body mass index of \>25 kg/m2
2. Subjects must be medically stable based on medical history, physical examination, and laboratory investigations.
3. Subjects must be willing and able to adhere to the prohibitions and restrictions specified in this protocol.
4. Each subject must sign an informed consent form (ICF) indicating that he or she understands the purpose of the study and are willing to participate in the study.

Exclusion Criteria:

1. History of diabetic ketoacidosis, type 1 diabetes, pancreas or beta-cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy.
2. History of brittle or labile glycemic control, with widely varying glucose measurements by FPG or SMBG such that stable glucose control over the treatment period would be unlikely.
3. History of drug or alcohol abuse according to Diagnostic and Statistical Manual of Mental Disorders (5th edition) (DSM-V) criteria within 3 years before Screening, or an Alcohol Use Disorders Identification Test (AUDIT) with a score \>=8, or alcohol consumption of more than 20 g per day in the case of women and more than 30 g per day in the case of men for at least three consecutive months during the previous 5 years.
4. Thyroid stimulating hormone (TSH) value that is either \< 0.45 mIU/L or \>10 mIU/L at Screening.

   Note: Subjects on thyroid hormone replacement therapy must be on a stable dose and dosing regimen for at least 4 weeks prior to enrollment.
5. Use of a PPAR-γ agonist \[e.g., a thiazolidinedione (pioglitazone\], an SGLT2 inhibitor (e.g., canagliflozin, empagliflozin, dapagliflozin) or GLP-1 receptor agonists (e.g., liraglutide, dulaglutide) within 12 weeks before the enrollment.
6. Ongoing eating disorder, or a significant weight loss or weight gain within 12 weeks before the Screening visit, defined as an increase or decrease of 5% in body weight based upon clinic-based measurement or, if not available, based on subject's report.
7. Myocardial infarction, unstable angina, pulmonary hypertension, revascularization procedure (e.g., stent or bypass graft surgery), or cerebrovascular accident within 3 months before Screening, or revascularization procedure is planned, or subject has a history of New York Heart Association (NYHA) Class III-IV cardiac disease.
8. Use of vitamin E within 4 weeks before screening.
9. History of prior bariatric (e.g., Roux-en-Y gastric bypass) or other major upper gastrointestinal surgical procedure (including gastric resection).
10. History of diabetic gastroparesis (or symptoms suggestive of this disorder, including postprandial bloating or vomiting), malabsorption, inflammatory bowel disease, or any other chronic, clinically important gastrointestinal disorder.
11. Estimated glomerular filtration rate (eGFR) \<45 mL/min/1•73 m2 using the Modification of Diet in Renal Disease Study (MDRD) equation.
12. Subjects with a history of having or possibly having metallic material in the body or any contraindication for a MR examination.
13. Claustrophobia, or anxiety related to previous negative experiences with magnetic resonance imaging procedures or if the subject is unwilling to participate in magnetic resonance imaging procedures.
14. Clinically important hematologic disorder (e.g., symptomatic anemia, proliferative bone marrow disorder, thrombocytopenia) at Screening.
15. History of human immunodeficiency virus (HIV) antibody positive at Screening.
16. Contraindications to the use of oral semaglutide (per ORAL SEMAGLUTIDE Prescribing Information).
17. Pregnancy or women breastfeeding or planning to become pregnant while enrolled in this study.
18. History of significant cardiac, vascular, pulmonary, renal, gastrointestinal, endocrine, neurologic, hematologic, rheumatologic, psychiatric disturbances.
19. Patients with history of myopathies or evidence of active muscle disease.",NA,"Liver Transplant; Complications, Diabete Mellitus",,Semaglutide Pill,30 Years,,ALL,https://clinicaltrials.gov/study/NCT06060392,diabetes
NCT05413928,"Effect of Meal Composition and Timing Modification on Glucose Metabolism, Body Temperature and Sleep",RECRUITING,"The purpose of our study is to understand the impact of different meal timing alterations on blood sugars, metabolism, microbiome and sleep physiology in people with prediabetes and diabetes; and to study the temperature/heart rate response to different meals in different people.","Inclusion Criteria:

* Be 18 years of age or older;
* Not be pregnant, if female;
* Be generally healthy (with no apparent symptoms at the time of enrollment)
* Patients with prediabetes or diet- controlled or type 2 diabetes or controlled with metformin, will also be allowed to participate.
* Be willing to provide written informed consent for all study procedures.

Exclusion Criteria:

* major organ disease
* pregnant/lactating
* diabetes medications except for metformin
* malabsorptive disorders like celiac sprue
* heavy alcohol use
* use of weight loss medications or specific diets
* weight change \>2 Kg in the last month
* history of bariatric surgery
* Any medical condition that physicians believe would interfere with study participation or evaluation of results
* Mental incapacity and/or cognitive impairment on the part of the patient that would preclude adequate understanding of, or cooperation with, the study protocol.",NA,"PreDiabetes, Type 2 Diabetes, Healthy",,"Time Restrictive Eating- late, Time Restrictive Eating- early, Time Restrictive Eating- early with early caloric intake, Macronutrient-controlled meals",18 Years,,ALL,https://clinicaltrials.gov/study/NCT05413928,diabetes
NCT06096311,Improvement of Hyperglycemia/Diabetes in Patients to Improve Safety,RECRUITING,"The goal of this project is to bring together staff and clinicians from Northwestern University/Northwestern Medical Group/Northwestern Memorial Hospital as well as patients and caregivers to assess and redesign the identification and management of hyperglycemia and diabetes during and in transitions of care. There will be 3 different groups for the study: a group of providers \[Group 1\], a group of patients/caregivers and laypersons \[Group 2\], and a stakeholder group \[Group 3\]. Participants will be asked to provide input on potential interventions for a future clinical trial.","Inclusion Criteria:

* Provider Group: Multidisciplinary clinical team (including but not limited to inpatient endocrine nurse practitioners, nurse coordinators, diabetes educators, outpatient nurses, attending physicians, and pharmacists)
* Patient, Caregiver and Layperson Group: Patients must have had hyperglycemia or diabetes at Northwestern Memorial Hospital in the last 5 years.
* Stakeholder Group: Involved in the specific care delivery of diabetes

Exclusion Criteria:

* Provider Group: None
* Patient, Caregiver, and Layperson Group: Patients will be excluded if they did not have diabetes or had hyperglycemia.
* Stakeholder Group: None",N/A,"Diabetes Mellitus, Type 2",,Interviews,18 Years,,ALL,https://clinicaltrials.gov/study/NCT06096311,diabetes
NCT06717893,Clinical and Laboratory Characteristics of a Population of Children and Adolescents With Newly Diagnosed Type 1 Diabetes and Insulin Requirements at Onset,RECRUITING,"The clinical implication of this study lies in the identification of factors that may predict reduced insulin sensitivity in children and adolescents at the onset of Type 1 Diabetes and would help the physician to undertake appropriate therapy more quickly by achieving the correct therapeutic dosage, in order to achieve good metabolic compensation at an early stage and thus reduce the time (and costs) of hospitalisation.","Inclusion Criteria:

* Age ≤ 14 years at the time of diagnosis of type 1 diabetes;
* Diagnosis of type 1 diabetes confirmed between January 2014 and December 2018 at the Pediatrics Unit of the IRCCS Azienda Ospedaliero-Universitaria of Bologna, Italy;
* Patients with at least 1 year of follow-up after diagnosis od type 1 diabetes;
* Obtaining informed consent from parents/legal guardian of pediatric patients.

Exclusion Criteria:

* Patients with diabetes other that type 1;
* Patients followed at other centres at the time of onset of type 1 diabetes.",N/A,Type 1 Diabetes (T1D),Type 1 Diabetes,,,14 Years,ALL,https://clinicaltrials.gov/study/NCT06717893,diabetes
NCT06496412,Safety and Efficacy of Fecal Microbiota Transplantation on Cognitive Function in T1DM,RECRUITING,"This study is a prospective, single-center, parallel-design,1:1 randomized controlled trial with triple blinding. It aims to investigate the effects of fecal microbiota transplantation (FMT) on cognitive function in patients with long-term type 1 diabetes (T1D), as well as its effects on other complications, glycemic control, insulin dosage, insulin resistance, peripheral blood immune cells, serum metabolites, and safety. This study is divided into two phases for recruiting participants. The first phase recruits 10 individuals (experimental group: 5, control group: 5), while the second phase recruits 30 individuals (experimental group: 15, control group: 15).The main research objectives are as follows:

1. To observe the difference in cognitive function between the FMT group and the placebo group, with the indicators including cognitive scale scores, changes in brain MRI imaging indicators and brain age at week 24 compared to baseline.
2. To observe the difference in other complications between the FMT group and the placebo group, with the indicators including changes in urinary albumin/creatinine ratio, fundus photography, carotid intima-media thickness, and arterial pulse wave velocity at week 24 compared to baseline.
3. To observe the difference in glycemic control, insulin dosage, insulin resistance, peripheral blood immune cells, gut microbiota, and serum metabolites between the FMT group and the placebo group.
4. To evaluate the safety of FMT.","Inclusion Criteria:

1. According to the definition of type 1 diabetes mellitus (T1DM) by the World Health Organization (WHO), the diagnostic criteria are as follows: (i) clinically diagnosed as T1D by endocrinologists; (ii) insulin dependence from disease onset and diabetic ketoacidosis (DKA)/diabetic ketosis (DK) at diagnosis; (iii) positive for at least one of islet autoantibodies for glutamic acid decarboxylase antibody \[GADA\], insulinoma-associated protein 2 antibody \[IA-2A\], and zinc transporter 8 antibody \[ZnT8A\]; or negative for all three islet autoantibodies, but diagnosed before age 30.
2. Age between 18 and 60 years, with a diabetes duration of 10 years or more
3. Glycated hemoglobin levels ranging from 6.5% to 9.0%.

Exclusion Criteria:

1. Use of any hypoglycemic medication other than insulin in the two months prior to randomization.
2. Participation in other clinical trials within the two months prior to randomization.
3. Use of antimicrobial drugs, probiotics, intestinal microbiota regulators, and other drugs with significant impact on gut microbiota within the two months prior to randomization.
4. Gastrointestinal diseases: celiac disease, irritable bowel syndrome, Crohn's disease, etc.
5. Severe infections, severe heart, liver, kidney diseases, tumors, and other inflammatory or autoimmune diseases.
6. Pregnant or lactating women, or women planning pregnancy during the study period.
7. Severe mental health disorders such as schizophrenia, major depression, bipolar disorder, alcohol or substance abuse, etc.
8. Neurological disorders such as Parkinson's disease, progressive supranuclear palsy, epilepsy, multiple sclerosis, traumatic brain injury, stroke, etc.
9. Post-implantation of metal materials or contraindications for other MRI examinations.
10. Severe episodes of unconscious hypoglycemia within the past two months.",NA,Type 1 Diabetes,"type 1 diabetes, fecal microbiota transplantation, cognitive impairment","fecal microbiota transplantation, Placebo",18 Years,60 Years,ALL,https://clinicaltrials.gov/study/NCT06496412,diabetes
NCT07224334,Role of Alpha-to-beta Cell Communication to Adapt Insulin Secretion to Insulin Resistance.,RECRUITING,"Glucagon secretion from α-cells has long been viewed as primarily a counterregulatory mechanism - e.g. an agent with a role to prevent blood sugar from decreasing to levels that compromise function. Our group, along with other researchers, have begun to identify a much more complex role for α-cells, raising questions about when and how glucagon may influence blood glucose levels. This proposal looks to detail proglucagon peptide secretion from α-cells and the impact this has on β-cell function and glucose tolerance, in preclinical studies of human islets and translational studies in human subjects.

This protocol registration describes Aim 2 from this NIH grant which involves 2 study populations and separate protocols but addresses a common question. Aim 3 in the grant is focused on a separate hypothesis and will be conducted and published separately from Aim 2.","Aim 2A: Inclusion Criteria:

* Age 18-45
* Body Mass Index (BMI) \< 27.0
* Fasting plasma glucose of ≤ 95 mg/dL or HbA1c value ≤ 5.8% as measured at screening visit

Exclusion Criteria:

* Active medical disease: e.g. active infectious, inflammatory, neurodegenerative or mental health disorders
* Personal history of diabetes or pancreatitis
* Personal history of cardiac, gastrointestinal, renal or liver disease
* Immediate family history of diabetes
* Renal insufficiency (eGFR \< 60 mL/kg/min)
* Anemia (hematocrit \< 34%) as measured at screening visit
* Pregnant females
* Poor vein access
* Consumption of daily medications that alter glucose metabolism of GI function (glucocorticoids, psychotropics, narcotics, metoclopramide)
* Apparent sensitivity to the study peptide as determined by the skin test

Aim 2B: Inclusion Criteria:

* Age 35-60
* Body Mass Index (BMI) ≥ 27.0
* Fasting plasma glucose of \< 126 mg/dL or HbA1c value \< 6.5% as measured at screening visit

Exclusion Criteria:

* Active medical disease: e.g. active infectious, inflammatory, neurodegenerative or mental health disorders
* Personal history of diabetes or pancreatitis
* Personal history of cardiac, gastrointestinal, renal or liver disease
* Immediate family history of diabetes
* Renal insufficiency (eGFR \< 60 mL/kg/min)
* AST and/or ALT levels \> 3x the upper limit of the normal range
* Anemia (hematocrit \< 34%) as measured at screening visit
* Pregnant females
* Poor vein access
* Consumption of daily medications that alter glucose metabolism of GI function (glucocorticoids, psychotropics, narcotics, metoclopramide)
* Apparent sensitivity to the study peptide as determined by the skin test",PHASE1,Diabetes (DM),"insulin secretion, insulin sensitivity, GLP-1, alpha- to beta-cell communication","Exendin-9 is a 30 amino acid peptide that is an established competitive antagonist of the GLP-1 receptor. Subjects will receive exendin-9 by intravenous infusion at a rate of 600 pmol/kg/min, Dexamethasone",18 Years,60 Years,ALL,https://clinicaltrials.gov/study/NCT07224334,diabetes
NCT05801432,A Study to Evaluate Coronary Atherosclerosis in Patients With Diabetes Mellitus,RECRUITING,The purpose of this study is to evaluate the natural history of coronary atherosclerosis development and progression over time by CCTA and to identify risk factors attributable to the development of coronary atherosclerosis in a Korean DM population.,"Inclusion Criteria:

* Age 19 years or older
* Asymptomatic patients with type 2 DM who had undergone initial CCTA evaluation at the Diabetes Center of the Asan Medical Center between February 2008 and June 2012
* Willing and able to provide informed written consent

Exclusion Criteria:

* Blood test results that the Creatinine level exceeds 1.5 mg/dL
* A person with a history of anaphylaxis or allergic shock associated with a contrast medium
* Pregnant women
* Unable to undergo follow-up CCTA
* Uninterpretable CCTA",N/A,Diabetes Mellitus,,,19 Years,,ALL,https://clinicaltrials.gov/study/NCT05801432,diabetes
NCT07172009,The Effect of Chlorhexidine Mouthwash on Postprandial Glucose Response in Healthy Individuals,RECRUITING,"The digestion of carbohydrates begins in the mouth through the salivary enzyme amylase which breaks food starches into maltose and disaccharides. The mouth also has a large community of microorganisms which include bacteria, fungi, viruses and protozoa that can also assist in the digestion of carbohydrates. Mouthwashes containing antibacterial compounds such as chlorhexidine are used to kill oral bacteria, but current evidence indicates that a majority of these bacteria are essential for human health.

The aim of this study is to investigate whether chlorhexidine mouthwash can also affect the digestion of carbohydrates. At least 25 individuals will be recruited. Participants will visit the laboratory in two occasions. A saliva and blood sample (fingertip to measure blood glucose) will be taken at baseline. Then, using a randomized, cross-over and double-blind design, the participants will rinse their mouth for two minutes with a placebo or chlorhexidine mouthwash. Then, participants will eat 50 g of white bread and blood glucose will be measured (fingertips) every 30 min for the following 2 hours. Another saliva sample will be collected at the end of each test.","Inclusion Criteria: Healthy adults (\> 18 years/old)

Exclusion Criteria:

The main exclusion criteria is pregnancy, people following cancer treatment, taking immunosuppressant or antibiotics and using antibacterial mouthwash for less than 2 weeks before the study.",NA,Glucose Metabolism Disorders (Including Diabetes Mellitus),,"Chlorhexidine mouthwash, Placebo mouthwash",18 Years,,ALL,https://clinicaltrials.gov/study/NCT07172009,diabetes
